Sample Name	Protocol REF	Parameter Value[Concentration measurement]	Performer	Date	Extract Name	Characteristics[Concentration]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Provider name]	Parameter Value[Provider contact]	Parameter Value[Provider project ID]	Parameter Value[Provider sample ID]	Parameter Value[Provider QC status]	Parameter Value[Requestor contact]	Parameter Value[Requestor project]	Parameter Value[Requestor sample ID]	Parameter Value[Concentration measurement]	Parameter Value[Library source]	Parameter Value[Library strategy]	Parameter Value[Library selection]	Parameter Value[Library layout]	Parameter Value[Library kit]	Parameter Value[Target insert size]	Parameter Value[Wet-lab insert size]	Performer	Date	Extract Name	Characteristics[Folder name]	Characteristics[Concentration]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Platform]	Parameter Value[Instrument model]	Parameter Value[Base quality encoding]	Parameter Value[Center name]	Parameter Value[Center contact]	Performer	Date	Raw Data File
P2027-N1	Nucleic acid extraction WGS				P2027-N1-DNA1					Library construction WGS																			P12027-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2028-N1	Nucleic acid extraction WGS				P2028-N1-DNA1					Library construction WGS																			P12028-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2029-N1	Nucleic acid extraction WGS				P2029-N1-DNA1					Library construction WGS																			P12029-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2030-N1	Nucleic acid extraction WGS				P2030-N1-DNA1					Library construction WGS																			P12030-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2031-N1	Nucleic acid extraction WGS				P2031-N1-DNA1					Library construction WGS																			P12031-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2032-N1	Nucleic acid extraction WGS				P2032-N1-DNA1					Library construction WGS																			P12032-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2033-N1	Nucleic acid extraction WGS				P2033-N1-DNA1					Library construction WGS																			P12033-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2034-N1	Nucleic acid extraction WGS				P2034-N1-DNA1					Library construction WGS																			P12034-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2035-N1	Nucleic acid extraction WGS				P2035-N1-DNA1					Library construction WGS																			P12035-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2036-N1	Nucleic acid extraction WGS				P2036-N1-DNA1					Library construction WGS																			P12036-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2037-N1	Nucleic acid extraction WGS				P2037-N1-DNA1					Library construction WGS																			P12037-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2038-N1	Nucleic acid extraction WGS				P2038-N1-DNA1					Library construction WGS																			P12038-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2039-N1	Nucleic acid extraction WGS				P2039-N1-DNA1					Library construction WGS																			P12039-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2040-N1	Nucleic acid extraction WGS				P2040-N1-DNA1					Library construction WGS																			P12040-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2041-N1	Nucleic acid extraction WGS				P2041-N1-DNA1					Library construction WGS																			P12041-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2042-N1	Nucleic acid extraction WGS				P2042-N1-DNA1					Library construction WGS																			P12042-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2043-N1	Nucleic acid extraction WGS				P2043-N1-DNA1					Library construction WGS																			P12043-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2044-N1	Nucleic acid extraction WGS				P2044-N1-DNA1					Library construction WGS																			P12044-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2045-N1	Nucleic acid extraction WGS				P2045-N1-DNA1					Library construction WGS																			P12045-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2046-N1	Nucleic acid extraction WGS				P2046-N1-DNA1					Library construction WGS																			P12046-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2047-N1	Nucleic acid extraction WGS				P2047-N1-DNA1					Library construction WGS																			P12047-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2048-N1	Nucleic acid extraction WGS				P2048-N1-DNA1					Library construction WGS																			P12048-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2049-N1	Nucleic acid extraction WGS				P2049-N1-DNA1					Library construction WGS																			P12049-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2050-N1	Nucleic acid extraction WGS				P2050-N1-DNA1					Library construction WGS																			P12050-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2051-N1	Nucleic acid extraction WGS				P2051-N1-DNA1					Library construction WGS																			P12051-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2052-N1	Nucleic acid extraction WGS				P2052-N1-DNA1					Library construction WGS																			P12052-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2053-N1	Nucleic acid extraction WGS				P2053-N1-DNA1					Library construction WGS																			P12053-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2054-N1	Nucleic acid extraction WGS				P2054-N1-DNA1					Library construction WGS																			P12054-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2055-N1	Nucleic acid extraction WGS				P2055-N1-DNA1					Library construction WGS																			P12055-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2056-N1	Nucleic acid extraction WGS				P2056-N1-DNA1					Library construction WGS																			P12056-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2057-N1	Nucleic acid extraction WGS				P2057-N1-DNA1					Library construction WGS																			P12057-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2058-N1	Nucleic acid extraction WGS				P2058-N1-DNA1					Library construction WGS																			P12058-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2059-N1	Nucleic acid extraction WGS				P2059-N1-DNA1					Library construction WGS																			P12059-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2060-N1	Nucleic acid extraction WGS				P2060-N1-DNA1					Library construction WGS																			P12060-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2061-N1	Nucleic acid extraction WGS				P2061-N1-DNA1					Library construction WGS																			P12061-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2062-N1	Nucleic acid extraction WGS				P2062-N1-DNA1					Library construction WGS																			P12062-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2063-N1	Nucleic acid extraction WGS				P2063-N1-DNA1					Library construction WGS																			P12063-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2064-N1	Nucleic acid extraction WGS				P2064-N1-DNA1					Library construction WGS																			P12064-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2065-N1	Nucleic acid extraction WGS				P2065-N1-DNA1					Library construction WGS																			P12065-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2066-N1	Nucleic acid extraction WGS				P2066-N1-DNA1					Library construction WGS																			P12066-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2067-N1	Nucleic acid extraction WGS				P2067-N1-DNA1					Library construction WGS																			P12067-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2068-N1	Nucleic acid extraction WGS				P2068-N1-DNA1					Library construction WGS																			P12068-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2069-N1	Nucleic acid extraction WGS				P2069-N1-DNA1					Library construction WGS																			P12069-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2070-N1	Nucleic acid extraction WGS				P2070-N1-DNA1					Library construction WGS																			P12070-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2071-N1	Nucleic acid extraction WGS				P2071-N1-DNA1					Library construction WGS																			P12071-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2072-N1	Nucleic acid extraction WGS				P2072-N1-DNA1					Library construction WGS																			P12072-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2073-N1	Nucleic acid extraction WGS				P2073-N1-DNA1					Library construction WGS																			P12073-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2074-N1	Nucleic acid extraction WGS				P2074-N1-DNA1					Library construction WGS																			P12074-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2075-N1	Nucleic acid extraction WGS				P2075-N1-DNA1					Library construction WGS																			P12075-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2076-N1	Nucleic acid extraction WGS				P2076-N1-DNA1					Library construction WGS																			P12076-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2077-N1	Nucleic acid extraction WGS				P2077-N1-DNA1					Library construction WGS																			P12077-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2078-N1	Nucleic acid extraction WGS				P2078-N1-DNA1					Library construction WGS																			P12078-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2079-N1	Nucleic acid extraction WGS				P2079-N1-DNA1					Library construction WGS																			P12079-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2080-N1	Nucleic acid extraction WGS				P2080-N1-DNA1					Library construction WGS																			P12080-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2081-N1	Nucleic acid extraction WGS				P2081-N1-DNA1					Library construction WGS																			P12081-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2082-N1	Nucleic acid extraction WGS				P2082-N1-DNA1					Library construction WGS																			P12082-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2083-N1	Nucleic acid extraction WGS				P2083-N1-DNA1					Library construction WGS																			P12083-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2084-N1	Nucleic acid extraction WGS				P2084-N1-DNA1					Library construction WGS																			P12084-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2085-N1	Nucleic acid extraction WGS				P2085-N1-DNA1					Library construction WGS																			P12085-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2086-N1	Nucleic acid extraction WGS				P2086-N1-DNA1					Library construction WGS																			P12086-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2087-N1	Nucleic acid extraction WGS				P2087-N1-DNA1					Library construction WGS																			P12087-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2088-N1	Nucleic acid extraction WGS				P2088-N1-DNA1					Library construction WGS																			P12088-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2089-N1	Nucleic acid extraction WGS				P2089-N1-DNA1					Library construction WGS																			P12089-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2090-N1	Nucleic acid extraction WGS				P2090-N1-DNA1					Library construction WGS																			P12090-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2091-N1	Nucleic acid extraction WGS				P2091-N1-DNA1					Library construction WGS																			P12091-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2092-N1	Nucleic acid extraction WGS				P2092-N1-DNA1					Library construction WGS																			P12092-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2093-N1	Nucleic acid extraction WGS				P2093-N1-DNA1					Library construction WGS																			P12093-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2094-N1	Nucleic acid extraction WGS				P2094-N1-DNA1					Library construction WGS																			P12094-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2095-N1	Nucleic acid extraction WGS				P2095-N1-DNA1					Library construction WGS																			P12095-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2096-N1	Nucleic acid extraction WGS				P2096-N1-DNA1					Library construction WGS																			P12096-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2097-N1	Nucleic acid extraction WGS				P2097-N1-DNA1					Library construction WGS																			P12097-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2098-N1	Nucleic acid extraction WGS				P2098-N1-DNA1					Library construction WGS																			P12098-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2099-N1	Nucleic acid extraction WGS				P2099-N1-DNA1					Library construction WGS																			P12099-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2100-N1	Nucleic acid extraction WGS				P2100-N1-DNA1					Library construction WGS																			P12100-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2101-N1	Nucleic acid extraction WGS				P2101-N1-DNA1					Library construction WGS																			P12101-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2102-N1	Nucleic acid extraction WGS				P2102-N1-DNA1					Library construction WGS																			P12102-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2103-N1	Nucleic acid extraction WGS				P2103-N1-DNA1					Library construction WGS																			P12103-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2104-N1	Nucleic acid extraction WGS				P2104-N1-DNA1					Library construction WGS																			P12104-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2105-N1	Nucleic acid extraction WGS				P2105-N1-DNA1					Library construction WGS																			P12105-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2106-N1	Nucleic acid extraction WGS				P2106-N1-DNA1					Library construction WGS																			P12106-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2107-N1	Nucleic acid extraction WGS				P2107-N1-DNA1					Library construction WGS																			P12107-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2108-N1	Nucleic acid extraction WGS				P2108-N1-DNA1					Library construction WGS																			P12108-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2109-N1	Nucleic acid extraction WGS				P2109-N1-DNA1					Library construction WGS																			P12109-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2110-N1	Nucleic acid extraction WGS				P2110-N1-DNA1					Library construction WGS																			P12110-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2111-N1	Nucleic acid extraction WGS				P2111-N1-DNA1					Library construction WGS																			P12111-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2112-N1	Nucleic acid extraction WGS				P2112-N1-DNA1					Library construction WGS																			P12112-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2113-N1	Nucleic acid extraction WGS				P2113-N1-DNA1					Library construction WGS																			P12113-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2114-N1	Nucleic acid extraction WGS				P2114-N1-DNA1					Library construction WGS																			P12114-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2115-N1	Nucleic acid extraction WGS				P2115-N1-DNA1					Library construction WGS																			P12115-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2116-N1	Nucleic acid extraction WGS				P2116-N1-DNA1					Library construction WGS																			P12116-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2117-N1	Nucleic acid extraction WGS				P2117-N1-DNA1					Library construction WGS																			P12117-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2118-N1	Nucleic acid extraction WGS				P2118-N1-DNA1					Library construction WGS																			P12118-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2119-N1	Nucleic acid extraction WGS				P2119-N1-DNA1					Library construction WGS																			P12119-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2120-N1	Nucleic acid extraction WGS				P2120-N1-DNA1					Library construction WGS																			P12120-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2121-N1	Nucleic acid extraction WGS				P2121-N1-DNA1					Library construction WGS																			P12121-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2122-N1	Nucleic acid extraction WGS				P2122-N1-DNA1					Library construction WGS																			P12122-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2123-N1	Nucleic acid extraction WGS				P2123-N1-DNA1					Library construction WGS																			P12123-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2124-N1	Nucleic acid extraction WGS				P2124-N1-DNA1					Library construction WGS																			P12124-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2125-N1	Nucleic acid extraction WGS				P2125-N1-DNA1					Library construction WGS																			P12125-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2126-N1	Nucleic acid extraction WGS				P2126-N1-DNA1					Library construction WGS																			P12126-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2127-N1	Nucleic acid extraction WGS				P2127-N1-DNA1					Library construction WGS																			P12127-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2128-N1	Nucleic acid extraction WGS				P2128-N1-DNA1					Library construction WGS																			P12128-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2129-N1	Nucleic acid extraction WGS				P2129-N1-DNA1					Library construction WGS																			P12129-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2130-N1	Nucleic acid extraction WGS				P2130-N1-DNA1					Library construction WGS																			P12130-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2131-N1	Nucleic acid extraction WGS				P2131-N1-DNA1					Library construction WGS																			P12131-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2132-N1	Nucleic acid extraction WGS				P2132-N1-DNA1					Library construction WGS																			P12132-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2133-N1	Nucleic acid extraction WGS				P2133-N1-DNA1					Library construction WGS																			P12133-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2134-N1	Nucleic acid extraction WGS				P2134-N1-DNA1					Library construction WGS																			P12134-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2135-N1	Nucleic acid extraction WGS				P2135-N1-DNA1					Library construction WGS																			P12135-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2136-N1	Nucleic acid extraction WGS				P2136-N1-DNA1					Library construction WGS																			P12136-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2137-N1	Nucleic acid extraction WGS				P2137-N1-DNA1					Library construction WGS																			P12137-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2138-N1	Nucleic acid extraction WGS				P2138-N1-DNA1					Library construction WGS																			P12138-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2139-N1	Nucleic acid extraction WGS				P2139-N1-DNA1					Library construction WGS																			P12139-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2140-N1	Nucleic acid extraction WGS				P2140-N1-DNA1					Library construction WGS																			P12140-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2141-N1	Nucleic acid extraction WGS				P2141-N1-DNA1					Library construction WGS																			P12141-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2142-N1	Nucleic acid extraction WGS				P2142-N1-DNA1					Library construction WGS																			P12142-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2143-N1	Nucleic acid extraction WGS				P2143-N1-DNA1					Library construction WGS																			P12143-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2144-N1	Nucleic acid extraction WGS				P2144-N1-DNA1					Library construction WGS																			P12144-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2145-N1	Nucleic acid extraction WGS				P2145-N1-DNA1					Library construction WGS																			P12145-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2146-N1	Nucleic acid extraction WGS				P2146-N1-DNA1					Library construction WGS																			P12146-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2147-N1	Nucleic acid extraction WGS				P2147-N1-DNA1					Library construction WGS																			P12147-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2148-N1	Nucleic acid extraction WGS				P2148-N1-DNA1					Library construction WGS																			P12148-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2149-N1	Nucleic acid extraction WGS				P2149-N1-DNA1					Library construction WGS																			P12149-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2150-N1	Nucleic acid extraction WGS				P2150-N1-DNA1					Library construction WGS																			P12150-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2151-N1	Nucleic acid extraction WGS				P2151-N1-DNA1					Library construction WGS																			P12151-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2152-N1	Nucleic acid extraction WGS				P2152-N1-DNA1					Library construction WGS																			P12152-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2153-N1	Nucleic acid extraction WGS				P2153-N1-DNA1					Library construction WGS																			P12153-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2154-N1	Nucleic acid extraction WGS				P2154-N1-DNA1					Library construction WGS																			P12154-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2155-N1	Nucleic acid extraction WGS				P2155-N1-DNA1					Library construction WGS																			P12155-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2156-N1	Nucleic acid extraction WGS				P2156-N1-DNA1					Library construction WGS																			P12156-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2157-N1	Nucleic acid extraction WGS				P2157-N1-DNA1					Library construction WGS																			P12157-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2158-N1	Nucleic acid extraction WGS				P2158-N1-DNA1					Library construction WGS																			P12158-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2159-N1	Nucleic acid extraction WGS				P2159-N1-DNA1					Library construction WGS																			P12159-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2160-N1	Nucleic acid extraction WGS				P2160-N1-DNA1					Library construction WGS																			P12160-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2161-N1	Nucleic acid extraction WGS				P2161-N1-DNA1					Library construction WGS																			P12161-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2162-N1	Nucleic acid extraction WGS				P2162-N1-DNA1					Library construction WGS																			P12162-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2163-N1	Nucleic acid extraction WGS				P2163-N1-DNA1					Library construction WGS																			P12163-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2164-N1	Nucleic acid extraction WGS				P2164-N1-DNA1					Library construction WGS																			P12164-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2165-N1	Nucleic acid extraction WGS				P2165-N1-DNA1					Library construction WGS																			P12165-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2166-N1	Nucleic acid extraction WGS				P2166-N1-DNA1					Library construction WGS																			P12166-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2167-N1	Nucleic acid extraction WGS				P2167-N1-DNA1					Library construction WGS																			P12167-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2168-N1	Nucleic acid extraction WGS				P2168-N1-DNA1					Library construction WGS																			P12168-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2169-N1	Nucleic acid extraction WGS				P2169-N1-DNA1					Library construction WGS																			P12169-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2170-N1	Nucleic acid extraction WGS				P2170-N1-DNA1					Library construction WGS																			P12170-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2171-N1	Nucleic acid extraction WGS				P2171-N1-DNA1					Library construction WGS																			P12171-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2172-N1	Nucleic acid extraction WGS				P2172-N1-DNA1					Library construction WGS																			P12172-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2173-N1	Nucleic acid extraction WGS				P2173-N1-DNA1					Library construction WGS																			P12173-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2174-N1	Nucleic acid extraction WGS				P2174-N1-DNA1					Library construction WGS																			P12174-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2175-N1	Nucleic acid extraction WGS				P2175-N1-DNA1					Library construction WGS																			P12175-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2176-N1	Nucleic acid extraction WGS				P2176-N1-DNA1					Library construction WGS																			P12176-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2177-N1	Nucleic acid extraction WGS				P2177-N1-DNA1					Library construction WGS																			P12177-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2178-N1	Nucleic acid extraction WGS				P2178-N1-DNA1					Library construction WGS																			P12178-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2179-N1	Nucleic acid extraction WGS				P2179-N1-DNA1					Library construction WGS																			P12179-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2180-N1	Nucleic acid extraction WGS				P2180-N1-DNA1					Library construction WGS																			P12180-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2181-N1	Nucleic acid extraction WGS				P2181-N1-DNA1					Library construction WGS																			P12181-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2182-N1	Nucleic acid extraction WGS				P2182-N1-DNA1					Library construction WGS																			P12182-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2183-N1	Nucleic acid extraction WGS				P2183-N1-DNA1					Library construction WGS																			P12183-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2184-N1	Nucleic acid extraction WGS				P2184-N1-DNA1					Library construction WGS																			P12184-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2185-N1	Nucleic acid extraction WGS				P2185-N1-DNA1					Library construction WGS																			P12185-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2186-N1	Nucleic acid extraction WGS				P2186-N1-DNA1					Library construction WGS																			P12186-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2187-N1	Nucleic acid extraction WGS				P2187-N1-DNA1					Library construction WGS																			P12187-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2188-N1	Nucleic acid extraction WGS				P2188-N1-DNA1					Library construction WGS																			P12188-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2189-N1	Nucleic acid extraction WGS				P2189-N1-DNA1					Library construction WGS																			P12189-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2190-N1	Nucleic acid extraction WGS				P2190-N1-DNA1					Library construction WGS																			P12190-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2191-N1	Nucleic acid extraction WGS				P2191-N1-DNA1					Library construction WGS																			P12191-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2192-N1	Nucleic acid extraction WGS				P2192-N1-DNA1					Library construction WGS																			P12192-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2193-N1	Nucleic acid extraction WGS				P2193-N1-DNA1					Library construction WGS																			P12193-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2194-N1	Nucleic acid extraction WGS				P2194-N1-DNA1					Library construction WGS																			P12194-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2195-N1	Nucleic acid extraction WGS				P2195-N1-DNA1					Library construction WGS																			P12195-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2196-N1	Nucleic acid extraction WGS				P2196-N1-DNA1					Library construction WGS																			P12196-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2197-N1	Nucleic acid extraction WGS				P2197-N1-DNA1					Library construction WGS																			P12197-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2198-N1	Nucleic acid extraction WGS				P2198-N1-DNA1					Library construction WGS																			P12198-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2199-N1	Nucleic acid extraction WGS				P2199-N1-DNA1					Library construction WGS																			P12199-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2200-N1	Nucleic acid extraction WGS				P2200-N1-DNA1					Library construction WGS																			P12200-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2201-N1	Nucleic acid extraction WGS				P2201-N1-DNA1					Library construction WGS																			P12201-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2202-N1	Nucleic acid extraction WGS				P2202-N1-DNA1					Library construction WGS																			P12202-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2203-N1	Nucleic acid extraction WGS				P2203-N1-DNA1					Library construction WGS																			P12203-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2204-N1	Nucleic acid extraction WGS				P2204-N1-DNA1					Library construction WGS																			P12204-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2205-N1	Nucleic acid extraction WGS				P2205-N1-DNA1					Library construction WGS																			P12205-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P2206-N1	Nucleic acid extraction WGS				P2206-N1-DNA1					Library construction WGS																			P12206-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
